x,y,heading,kappa,v,d_left,d_right
48.63130,30.26127,1.58914,0.09567,6.87691,1.15000,1.12500
48.58168,31.12594,1.67291,0.10991,6.55954,0.90000,1.35000
48.45770,31.95537,1.77177,0.12497,6.25637,0.72500,1.50000
48.25429,32.73294,1.88879,0.14144,5.97159,0.60000,1.55000
47.96929,33.43916,2.02872,0.16033,5.71807,0.52500,1.62500
47.60083,34.05878,2.19722,0.18351,5.71807,0.50000,1.50000
47.12668,34.60355,2.36805,0.16574,5.71807,0.62500,1.37500
46.51246,35.12164,2.50733,0.15118,5.95445,0.80000,1.20000
45.78063,35.59380,2.62448,0.13782,6.21178,1.07500,0.97500
44.98600,35.98979,2.72967,0.12675,6.47111,1.27500,0.77500
44.15564,36.30379,2.82675,0.11739,6.72212,1.40000,0.62500
43.30326,36.53783,2.91728,0.10934,6.96356,1.45000,0.55000
42.43379,36.69663,3.00178,0.10225,7.19727,1.55000,0.55000
41.55266,36.78419,3.08081,0.09602,7.42485,1.52500,0.60000
40.66738,36.80413,-3.12802,0.09056,7.64616,1.45000,0.72500
39.78590,36.76021,-3.05750,0.08579,7.86035,1.30000,0.87500
38.91593,36.65650,-2.99010,0.08155,8.00000,1.20000,1.05000
38.06341,36.49724,-2.92528,0.07775,8.00000,1.05000,1.17500
37.23219,36.28649,-2.86271,0.07428,8.00000,0.90000,1.30000
36.42511,36.02812,-2.80219,0.07104,8.00000,0.87500,1.32500
35.64100,35.72470,-2.74384,0.06798,8.00000,0.87500,1.32500
34.87591,35.37723,-2.68792,0.06517,8.00000,0.75000,1.40000
34.12965,34.98778,-2.63436,0.06259,8.00000,0.65000,1.55000
33.41048,34.56286,-2.58257,0.06002,8.00000,0.52500,1.67500
32.72864,34.11132,-2.53194,0.05732,8.00000,0.50000,1.67500
32.08662,33.63828,-2.48242,0.05461,8.00000,0.47500,1.70000
31.47240,33.13801,-2.43531,0.05114,8.00000,0.50000,1.67500
30.86776,32.59849,-2.39232,0.04758,8.00000,0.52500,1.65000
30.26850,32.01811,-2.35368,0.04377,8.00000,0.65000,1.52500
29.67911,31.40386,-2.31904,0.03982,8.00000,0.75000,1.45000
29.10521,30.76499,-2.28793,0.03590,8.00000,0.82500,1.35000
28.54928,30.10818,-2.26005,0.03210,8.00000,0.92500,1.30000
28.01042,29.43647,-2.23526,0.02839,8.00000,0.97500,1.22500
27.48710,28.75212,-2.21348,0.02480,8.00000,1.00000,1.17500
26.97768,28.05713,-2.19458,0.02134,8.00000,1.02500,1.15000
26.48043,27.35327,-2.17847,0.01803,8.00000,1.05000,1.12500
25.99359,26.64211,-2.16500,0.01487,8.00000,1.05000,1.15000
25.51551,25.92515,-2.15405,0.01187,8.00000,1.02500,1.17500
25.04453,25.20376,-2.14550,0.00901,8.00000,0.97500,1.17500
24.57896,24.47901,-2.13923,0.00629,8.00000,0.95000,1.17500
24.11716,23.75193,-2.13515,0.00367,8.00000,0.90000,1.27500
23.65756,23.02348,-2.13318,0.00115,8.00000,0.85000,1.32500
23.19864,22.29459,-2.13325,-0.00132,8.00000,0.80000,1.37500
22.73894,21.56621,-2.13532,-0.00375,8.00000,0.75000,1.42500
22.27701,20.83925,-2.13938,-0.00617,8.00000,0.65000,1.47500
21.81143,20.11465,-2.14544,-0.00861,8.00000,0.60000,1.52500
21.34075,19.39335,-2.15351,-0.01109,8.00000,0.57500,1.55000
20.86353,18.67636,-2.16363,-0.01363,8.00000,0.55000,1.60000
20.37829,17.96469,-2.17587,-0.01624,8.00000,0.52500,1.70000
19.88354,17.25941,-2.19028,-0.01893,8.00000,0.52500,1.70000
19.37770,16.56159,-2.20691,-0.02170,8.00000,0.50000,1.72500
18.85902,15.87216,-2.22581,-0.02451,8.00000,0.52500,1.67500
18.32575,15.19213,-2.24699,-0.02736,8.00000,0.50000,1.67500
17.77631,14.52280,-2.27300,-0.03649,8.00000,0.57500,1.65000
17.20588,13.86851,-2.30640,-0.04568,8.00000,0.60000,1.57500
16.60993,13.23407,-2.34722,-0.05500,8.00000,0.72500,1.50000
15.98432,12.62483,-2.39552,-0.06453,8.00000,0.87500,1.37500
15.32531,12.04672,-2.45141,-0.07433,7.73891,1.02500,1.22500
14.63310,11.50921,-2.51539,-0.08454,7.45143,1.22500,1.02500
13.92298,11.03238,-2.58951,-0.09512,7.18231,1.42500,0.82500
13.22124,10.63955,-2.67783,-0.10611,6.94453,1.57500,0.65000
12.53218,10.33678,-2.78302,-0.11816,6.75060,1.72500,0.47500
11.81203,10.11141,-2.89990,-0.13166,6.75060,1.72500,0.50000
11.03569,9.96788,-3.01370,-0.12284,6.75060,1.62500,0.52500
10.22475,9.90729,-3.11721,-0.11561,6.92184,1.60000,0.62500
9.40379,9.92807,3.06920,-0.10954,7.10194,1.57500,0.60000
8.58783,10.02600,2.97730,-0.10444,7.28018,1.57500,0.57500
7.78363,10.19667,2.88946,-0.10018,7.45246,1.62500,0.55000
6.99626,10.43602,2.80504,-0.09666,7.61603,1.62500,0.55000
6.23012,10.74019,2.72349,-0.09380,7.76871,1.62500,0.60000
5.49155,11.10455,2.64406,-0.09155,7.90791,1.57500,0.60000
4.79128,11.52163,2.56552,-0.08982,8.00000,1.57500,0.60000
4.13890,11.98318,2.48675,-0.08855,8.00000,1.65000,0.55000
3.53656,12.48510,2.40737,-0.08780,8.00000,1.65000,0.55000
2.97343,13.03508,2.32872,-0.08761,8.00000,1.62500,0.55000
2.43913,13.64455,2.25230,-0.08789,8.00000,1.47500,0.75000
1.93645,14.31348,2.17790,-0.08852,8.00000,1.32500,0.90000
1.47244,15.03624,2.10475,-0.08950,8.00000,1.15000,1.10000
1.05402,15.80600,2.03209,-0.09089,7.88460,0.97500,1.30000
0.68838,16.61365,1.95898,-0.09276,7.70360,0.75000,1.50000
0.38247,17.44818,1.88434,-0.09524,7.49081,0.57500,1.62500
0.14182,18.29936,1.80708,-0.09838,7.24667,0.52500,1.70000
-0.02985,19.16060,1.72646,-0.10223,6.96924,0.47500,1.72500
-0.13041,20.03402,1.64009,-0.11291,6.69208,0.52500,1.65000
-0.15221,20.92352,1.54590,-0.12453,6.40780,0.65000,1.57500
-0.08597,21.81833,1.44280,-0.13753,6.11154,0.82500,1.42500
0.07570,22.69438,1.32794,-0.15232,5.80037,1.12500,1.17500
0.33550,23.51953,1.19661,-0.16944,5.47289,1.40000,0.90000
0.68901,24.25619,1.04129,-0.18989,5.13252,1.67500,0.55000
1.10564,24.83542,0.84003,-0.21638,4.81915,1.72500,0.42500
1.55462,25.22196,0.55633,-0.25835,4.81915,1.67500,0.47500
2.12776,25.47102,0.27471,-0.23878,4.81915,1.72500,0.47500
2.82775,25.58077,0.03776,-0.23592,5.03868,1.70000,0.47500
3.57877,25.52584,-0.15047,-0.16515,5.07377,1.62500,0.65000
